order_id,order_date,customer_id,customer_name,country,product_category,product_name,quantity,unit_price,discount_pct,revenue,is_returned
1001,2023-01-05,C042,Alice Martin,France,Electronics,Laptop Pro 15,1,1299.99,0.0,1299.99,False
1002,2023-01-07,C017,Bob Dupont,Belgium,Clothing,Winter Jacket,2,89.95,10.0,161.91,False
1003,2023-01-10,C089,Clara Schmidt,Germany,Electronics,Wireless Headphones,1,249.00,5.0,236.55,False
1004,2023-01-12,C042,Alice Martin,France,Books,Data Science Handbook,3,45.00,0.0,135.00,False
1005,2023-01-15,C031,David Leclerc,France,Electronics,Smartphone X12,1,899.00,0.0,899.00,True
1006,2023-01-18,C055,Emma Bauer,Germany,Home & Garden,Coffee Maker,1,79.99,0.0,79.99,False
1007,2023-01-20,C012,Frank Rossi,Italy,Clothing,Running Shoes,1,119.00,15.0,101.15,False
1008,2023-01-22,C089,Clara Schmidt,Germany,Books,Machine Learning A-Z,2,55.00,0.0,110.00,False
1009,2023-01-25,C073,Grace Kim,Spain,Electronics,Tablet S8,1,499.00,5.0,474.05,False
1010,2023-01-28,C017,Bob Dupont,Belgium,Home & Garden,Robot Vacuum,1,349.00,0.0,349.00,False
1011,2023-02-02,C099,Hank Torres,Spain,Clothing,Denim Jeans,2,69.99,0.0,139.98,False
1012,2023-02-05,C031,David Leclerc,France,Electronics,Laptop Pro 15,1,1299.99,10.0,1169.99,False
1013,2023-02-08,C041,Ivy Nguyen,France,Books,Python Crash Course,1,39.99,0.0,39.99,False
1014,2023-02-10,C055,Emma Bauer,Germany,Electronics,Wireless Headphones,2,249.00,0.0,498.00,False
1015,2023-02-14,C012,Frank Rossi,Italy,Home & Garden,Coffee Maker,1,79.99,20.0,63.99,False
1016,2023-02-17,C073,Grace Kim,Spain,Clothing,Winter Jacket,1,89.95,0.0,89.95,True
1017,2023-02-20,C099,Hank Torres,Spain,Electronics,Smartphone X12,1,899.00,5.0,854.05,False
1018,2023-02-23,C042,Alice Martin,France,Home & Garden,Air Purifier,1,199.00,0.0,199.00,False
1019,2023-02-27,C017,Bob Dupont,Belgium,Books,Data Science Handbook,1,45.00,0.0,45.00,False
1020,2023-03-01,C089,Clara Schmidt,Germany,Electronics,Smart Watch V2,1,329.00,0.0,329.00,False
1021,2023-03-04,C031,David Leclerc,France,Clothing,Running Shoes,2,119.00,10.0,214.20,False
1022,2023-03-07,,Unknown,France,Electronics,Tablet S8,1,499.00,0.0,499.00,False
1023,2023-03-10,C073,Grace Kim,Spain,Home & Garden,Robot Vacuum,1,349.00,15.0,296.65,False
1024,2023-03-13,C099,Hank Torres,Spain,Books,Machine Learning A-Z,3,55.00,5.0,156.75,False
1025,2023-03-16,C041,Ivy Nguyen,France,Electronics,Laptop Pro 15,1,1299.99,0.0,1299.99,False
1026,2023-03-19,C012,Frank Rossi,Italy,Clothing,Denim Jeans,1,69.99,0.0,69.99,False
